school_taxonomy_id,school_type,school_group,school_major_detail,subject_context,recommended_higher_education_area,keywords,notes
SCH-SMK-003,SMK,Vokasi,"Sistem Informasi, Jaringan, dan Aplikasi - SIJA","Aplikasi, jaringan, sistem informasi, integrasi teknologi","Sistem Informasi, Teknik Informatika, Sains Data",Sistem Informasi|Jaringan|Aplikasi|Database,Subset spektrum keahlian SMK/MAK
SCH-SMK-004,SMK,Vokasi,Pengembangan Gim,"Game design, game programming, animasi dasar","Teknik Informatika, Desain Komunikasi Visual, Animasi",Game|Gim|Unity|Desain Game|Animasi,Subset spektrum keahlian SMK/MAK
SCH-SMK-005,SMK,Vokasi,Akuntansi dan Keuangan Lembaga,"Pembukuan, laporan keuangan, pajak, spreadsheet","Akuntansi, Manajemen, Sistem Informasi, Perpajakan",Akuntansi|Keuangan|Pajak|Excel|Administrasi,Konsentrasi vokasi bisnis/keuangan
SCH-SMK-006,SMK,Vokasi,Manajemen Perkantoran dan Layanan Bisnis,"Administrasi, dokumen, layanan bisnis, komunikasi","Manajemen, Administrasi Bisnis, Sistem Informasi, Ilmu Komunikasi",Administrasi|Perkantoran|Dokumen|Komunikasi,Konsentrasi vokasi bisnis/administrasi
SCH-SMK-007,SMK,Vokasi,Pemasaran - Bisnis Digital,"Digital marketing, e-commerce, promosi, customer service","Bisnis Digital, Manajemen, Ilmu Komunikasi, Sistem Informasi",Marketing|Bisnis Digital|Ecommerce|Konten|Retail,Konsentrasi vokasi bisnis digital
SCH-SMK-008,SMK,Vokasi,Layanan Kesehatan,"Pelayanan kesehatan dasar, caregiving, kesehatan masyarakat","Keperawatan, Kesehatan Masyarakat, Ilmu Gizi, Farmasi",Kesehatan|Caregiving|Keperawatan|Biologi,Konsentrasi vokasi kesehatan
SCH-SMK-009,SMK,Vokasi,Farmasi Klinis dan Komunitas,"Obat, pelayanan farmasi, kimia dasar, kesehatan","Farmasi, Kimia, Kesehatan Masyarakat",Farmasi|Obat|Kimia|Kesehatan,Konsentrasi vokasi kesehatan/farmasi
SCH-SMK-010,SMK,Vokasi,Desain Komunikasi Visual,"Desain grafis, ilustrasi, branding, konten visual","DKV, Desain Produk, Ilmu Komunikasi, Animasi",Desain|Visual|Ilustrasi|Branding|Konten,Konsentrasi vokasi kreatif
SCH-SMK-011,SMK,Vokasi,Teknik Mesin,"Produksi, manufaktur, perawatan mesin, gambar teknik","Teknik Mesin, Teknik Industri, Pendidikan Teknik Mesin",Mesin|Manufaktur|CAD|Perawatan|Produksi,Konsentrasi vokasi teknik
SCH-SMK-012,SMK,Vokasi,Teknik Elektronika,"Elektronika, sensor, kontrol, perangkat keras","Teknik Elektro, Teknik Komputer, Teknik Mekatronika",Elektronika|Sensor|Robotik|Kontrol|IoT,Konsentrasi vokasi teknik
SCH-SMK-013,SMK,Vokasi,Agribisnis Tanaman/Ternak/Perikanan,"Budidaya, agribisnis, lingkungan, produksi pangan","Agribisnis, Agroteknologi, Peternakan, Perikanan, Teknologi Pangan",Pertanian|Agribisnis|Ternak|Perikanan|Pangan,Konsentrasi vokasi agribisnis
SCH-MAK-001,MAK,Madrasah Vokasi,MAK Teknologi/Bisnis/Kesehatan/Kreatif,Konsentrasi kejuruan berbasis madrasah aliyah kejuruan,Mengikuti mapping SMK/MAK sesuai konsentrasi,MAK|Vokasi|Keagamaan|Konsentrasi,Gunakan detail konsentrasi seperti SMK/MAK
