student_id,school_type,school_major_detail,initial_choice_program,recommended_top1_program,recommended_top1_program_id,recommended_top1_score,recommended_top3_programs,recommended_top5_programs,alignment_status,advisory_message,generator_version
STU-000027,SMK,Farmasi Klinis dan Komunitas,Kesehatan Masyarakat,Kesehatan Masyarakat,PRG2-018,0.968,Kesehatan Masyarakat|Keperawatan|Pendidikan Guru Sekolah Dasar,Kesehatan Masyarakat|Keperawatan|Pendidikan Guru Sekolah Dasar|Pariwisata|Ilmu Gizi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000028,SMA,Seni/Kreatif,Bisnis Digital,Pendidikan Dokter,PRG2-015,0.816,Pendidikan Dokter|Ekonomi Pembangunan|Teknik Informatika,Pendidikan Dokter|Ekonomi Pembangunan|Teknik Informatika|Farmasi|Statistika,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-000029,SMA,Bahasa dan Budaya,Kesehatan Masyarakat,Teknik Informatika,PRG2-001,0.846,Teknik Informatika|Sains Data|Teknologi Informasi,Teknik Informatika|Sains Data|Teknologi Informasi|Teknik Elektro|Teknik Mesin,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-000030,SMK,Agribisnis Tanaman/Ternak/Perikanan,Teknik Elektro,Keperawatan,PRG2-017,0.815,Keperawatan|Kesehatan Masyarakat|Pendidikan Guru Sekolah Dasar,Keperawatan|Kesehatan Masyarakat|Pendidikan Guru Sekolah Dasar|Ilmu Gizi|Psikologi,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-000031,SMA,MIPA/IPA,Teknik Elektro,Teknik Elektro,PRG2-006,0.906,Teknik Elektro|Teknik Mesin|Teknik Informatika,Teknik Elektro|Teknik Mesin|Teknik Informatika|Teknologi Informasi|Pendidikan Dokter,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000032,SMA,MIPA/IPA,Kimia,Kimia,PRG2-014,0.944,Kimia|Matematika|Pendidikan Dokter,Kimia|Matematika|Pendidikan Dokter|Farmasi|Sains Data,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000033,SMK,Pemasaran - Bisnis Digital,Arsitektur,Arsitektur,PRG2-010,0.858,Arsitektur|Desain Komunikasi Visual|Desain Produk,Arsitektur|Desain Komunikasi Visual|Desain Produk|Film dan Televisi|Teknik Sipil,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000034,SMK,Pengembangan Gim,Teknik Elektro,Teknologi Pangan,PRG2-034,0.94,Teknologi Pangan|Ilmu Gizi|Agroteknologi,Teknologi Pangan|Ilmu Gizi|Agroteknologi|Agribisnis|Biologi,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-000035,SMK,Pemasaran - Bisnis Digital,Teknik Industri,Teknik Industri,PRG2-007,0.961,Teknik Industri|Sistem Informasi|Bisnis Digital,Teknik Industri|Sistem Informasi|Bisnis Digital|Akuntansi|Manajemen,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000036,MAK,MAK Teknologi/Bisnis/Kesehatan/Kreatif,Ilmu Gizi,Ilmu Gizi,PRG2-019,0.95,Ilmu Gizi|Biologi|Teknologi Pangan,Ilmu Gizi|Biologi|Teknologi Pangan|Farmasi|Kesehatan Masyarakat,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000037,SMA,MIPA/IPA,Belum yakin,Teknologi Informasi,PRG2-004,0.912,Teknologi Informasi|Teknik Mesin|Teknik Elektro,Teknologi Informasi|Teknik Mesin|Teknik Elektro|Teknik Informatika|Teknik Sipil,belum_yakin,Siswa belum memiliki pilihan awal sehingga sistem perlu memberikan guided profiling dan eksplorasi bertahap.,stage10-v2.0
STU-000038,MA,Keagamaan,Ilmu Hukum,Ilmu Hukum,PRG2-022,0.936,Ilmu Hukum|Administrasi Publik|Ilmu Komunikasi,Ilmu Hukum|Administrasi Publik|Ilmu Komunikasi|Akuntansi|Pendidikan Bahasa Inggris,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000039,MA,Keagamaan,Ilmu Komunikasi,Ilmu Komunikasi,PRG2-021,0.935,Ilmu Komunikasi|Film dan Televisi|Desain Komunikasi Visual,Ilmu Komunikasi|Film dan Televisi|Desain Komunikasi Visual|Pendidikan Bahasa Inggris|Desain Produk,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000040,SMK,Pengembangan Perangkat Lunak dan Gim - RPL,Pendidikan Guru Sekolah Dasar,Manajemen,PRG2-026,0.902,Manajemen|Bisnis Digital|Pendidikan Guru Sekolah Dasar,Manajemen|Bisnis Digital|Pendidikan Guru Sekolah Dasar|Sistem Informasi|Teknik Industri,cukup_selaras,"Pilihan awal masih cukup relevan, tetapi siswa perlu membandingkan beberapa alternatif program studi.",stage10-v2.0
STU-000041,SMK,Teknik Elektronika,Matematika,Ilmu Gizi,PRG2-019,0.766,Ilmu Gizi|Kesehatan Masyarakat|Teknik Industri,Ilmu Gizi|Kesehatan Masyarakat|Teknik Industri|Akuntansi|Keperawatan,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-000042,SMA,Seni/Kreatif,Pendidikan Guru Sekolah Dasar,Farmasi,PRG2-016,0.821,Farmasi|Kimia|Pendidikan Dokter,Farmasi|Kimia|Pendidikan Dokter|Matematika|Sains Data,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-000043,SMA,Bahasa dan Budaya,Biologi,Biologi,PRG2-013,0.833,Biologi|Ilmu Hukum|Farmasi,Biologi|Ilmu Hukum|Farmasi|Matematika|Ekonomi Pembangunan,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000044,SMK,Manajemen Perkantoran dan Layanan Bisnis,Ilmu Gizi,Ilmu Gizi,PRG2-019,0.91,Ilmu Gizi|Kesehatan Masyarakat|Keperawatan,Ilmu Gizi|Kesehatan Masyarakat|Keperawatan|Agribisnis|Pendidikan Bahasa Inggris,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000045,SMK,Desain Komunikasi Visual,Ilmu Gizi,Ilmu Gizi,PRG2-019,0.944,Ilmu Gizi|Teknologi Pangan|Kesehatan Masyarakat,Ilmu Gizi|Teknologi Pangan|Kesehatan Masyarakat|Biologi|Keperawatan,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000046,SMK,Pengembangan Gim,Teknik Informatika,Teknik Informatika,PRG2-001,0.944,Teknik Informatika|Teknik Elektro|Teknik Mesin,Teknik Informatika|Teknik Elektro|Teknik Mesin|Teknologi Informasi|Kimia,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000047,SMA,Seni/Kreatif,Pendidikan Guru Sekolah Dasar,Desain Komunikasi Visual,PRG2-029,0.926,Desain Komunikasi Visual|Desain Produk|Arsitektur,Desain Komunikasi Visual|Desain Produk|Arsitektur|Film dan Televisi|Pendidikan Guru Sekolah Dasar,sebagian_selaras,"Pilihan awal masih cukup relevan, tetapi siswa perlu membandingkan beberapa alternatif program studi.",stage10-v2.0
STU-000048,SMA,IPS/Soshum,Ilmu Gizi,Ilmu Gizi,PRG2-019,0.975,Ilmu Gizi|Biologi|Teknologi Pangan,Ilmu Gizi|Biologi|Teknologi Pangan|Kesehatan Masyarakat|Farmasi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000049,SMA,Seni/Kreatif,Kesehatan Masyarakat,Kesehatan Masyarakat,PRG2-018,0.918,Kesehatan Masyarakat|Ilmu Gizi|Keperawatan,Kesehatan Masyarakat|Ilmu Gizi|Keperawatan|Administrasi Publik|Biologi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000050,MA,MIPA/IPA,Belum yakin,Keperawatan,PRG2-017,0.776,Keperawatan|Pendidikan Dokter|Teknologi Pangan,Keperawatan|Pendidikan Dokter|Teknologi Pangan|Kesehatan Masyarakat|Biologi,belum_yakin,Siswa belum memiliki pilihan awal sehingga sistem perlu memberikan guided profiling dan eksplorasi bertahap.,stage10-v2.0
STU-000051,SMK,"Sistem Informasi, Jaringan, dan Aplikasi - SIJA",Desain Produk,Desain Produk,PRG2-030,0.861,Desain Produk|Desain Komunikasi Visual|Arsitektur,Desain Produk|Desain Komunikasi Visual|Arsitektur|Film dan Televisi|Ilmu Komunikasi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000052,SMK,Pengembangan Gim,Arsitektur,Ilmu Gizi,PRG2-019,0.91,Ilmu Gizi|Biologi|Teknologi Pangan,Ilmu Gizi|Biologi|Teknologi Pangan|Farmasi|Agroteknologi,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-000053,SMK,Pengembangan Gim,Teknik Sipil,Teknik Sipil,PRG2-009,0.856,Teknik Sipil|Teknik Mesin|Teknik Elektro,Teknik Sipil|Teknik Mesin|Teknik Elektro|Desain Produk|Agroteknologi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000054,SMA,MIPA/IPA,Akuntansi,Akuntansi,PRG2-027,0.969,Akuntansi|Teknik Industri|Sistem Informasi,Akuntansi|Teknik Industri|Sistem Informasi|Manajemen|Ekonomi Pembangunan,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000055,SMA,IPS/Soshum,Teknik Sipil,Teknik Sipil,PRG2-009,0.889,Teknik Sipil|Arsitektur|Desain Produk,Teknik Sipil|Arsitektur|Desain Produk|Teknik Mesin|Teknik Elektro,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000056,SMK,Farmasi Klinis dan Komunitas,Kimia,Kimia,PRG2-014,0.914,Kimia|Farmasi|Teknik Informatika,Kimia|Farmasi|Teknik Informatika|Statistika|Teknologi Pangan,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000057,SMK,Desain Komunikasi Visual,Arsitektur,Desain Komunikasi Visual,PRG2-029,0.83,Desain Komunikasi Visual|Arsitektur|Film dan Televisi,Desain Komunikasi Visual|Arsitektur|Film dan Televisi|Ilmu Komunikasi|Desain Produk,cukup_selaras,"Pilihan awal masih cukup relevan, tetapi siswa perlu membandingkan beberapa alternatif program studi.",stage10-v2.0
STU-000058,MAK,MAK Teknologi/Bisnis/Kesehatan/Kreatif,Keperawatan,Keperawatan,PRG2-017,0.708,Keperawatan|Desain Produk|Agroteknologi,Keperawatan|Desain Produk|Agroteknologi|Film dan Televisi|Teknologi Informasi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000059,SMK,Agribisnis Tanaman/Ternak/Perikanan,Teknik Elektro,Teknik Elektro,PRG2-006,0.889,Teknik Elektro|Teknik Mesin|Teknologi Informasi,Teknik Elektro|Teknik Mesin|Teknologi Informasi|Teknik Informatika|Agroteknologi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000060,SMA,IPS/Soshum,Pariwisata,Pariwisata,PRG2-035,0.906,Pariwisata|Manajemen|Psikologi,Pariwisata|Manajemen|Psikologi|Kesehatan Masyarakat|Bisnis Digital,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000061,SMK,Agribisnis Tanaman/Ternak/Perikanan,Pendidikan Bahasa Inggris,Agroteknologi,PRG2-033,0.909,Agroteknologi|Agribisnis|Biologi,Agroteknologi|Agribisnis|Biologi|Teknologi Pangan|Teknik Sipil,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-000062,SMK,Pengembangan Gim,Arsitektur,Arsitektur,PRG2-010,0.935,Arsitektur|Desain Produk|Desain Komunikasi Visual,Arsitektur|Desain Produk|Desain Komunikasi Visual|Teknik Sipil|Film dan Televisi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000063,SMA,Bahasa dan Budaya,Pendidikan Dokter,Pendidikan Dokter,PRG2-015,1.0,Pendidikan Dokter|Ekonomi Pembangunan|Farmasi,Pendidikan Dokter|Ekonomi Pembangunan|Farmasi|Matematika|Statistika,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000064,SMK,Pengembangan Perangkat Lunak dan Gim - RPL,Teknologi Informasi,Teknik Industri,PRG2-007,0.876,Teknik Industri|Sistem Informasi|Sains Data,Teknik Industri|Sistem Informasi|Sains Data|Statistika|Akuntansi,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-000065,SMK,Layanan Kesehatan,Administrasi Publik,Teknologi Informasi,PRG2-004,0.839,Teknologi Informasi|Teknik Elektro|Teknik Mesin,Teknologi Informasi|Teknik Elektro|Teknik Mesin|Teknik Informatika|Teknik Sipil,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-000066,SMK,"Sistem Informasi, Jaringan, dan Aplikasi - SIJA",Sains Data,Teknologi Informasi,PRG2-004,0.861,Teknologi Informasi|Teknik Informatika|Teknik Elektro,Teknologi Informasi|Teknik Informatika|Teknik Elektro|Teknik Mesin|Teknik Sipil,tidak_selaras,"Pilihan awal kurang selaras dengan profil sementara. Sistem sebaiknya memberi bridge plan, bukan menolak pilihan siswa secara mutlak.",stage10-v2.0
STU-000067,SMK,Akuntansi dan Keuangan Lembaga,Teknik Elektro,Teknik Elektro,PRG2-006,0.889,Teknik Elektro|Teknik Mesin|Teknologi Informasi,Teknik Elektro|Teknik Mesin|Teknologi Informasi|Teknik Informatika|Akuntansi,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000068,SMK,"Sistem Informasi, Jaringan, dan Aplikasi - SIJA",Pariwisata,Pariwisata,PRG2-035,0.746,Pariwisata|Pendidikan Guru Sekolah Dasar|Pendidikan Bahasa Inggris,Pariwisata|Pendidikan Guru Sekolah Dasar|Pendidikan Bahasa Inggris|Keperawatan|Kesehatan Masyarakat,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
STU-000069,SMA,Seni/Kreatif,Teknik Informatika,Teknik Informatika,PRG2-001,0.895,Teknik Informatika|Pendidikan Dokter|Ekonomi Pembangunan,Teknik Informatika|Pendidikan Dokter|Ekonomi Pembangunan|Farmasi|Matematika,selaras,Pilihan awal siswa sangat selaras dengan hasil pemetaan sistem. Tetap perlu validasi dengan guru BK atau konselor.,stage10-v2.0
