utterance_id,utterance,intent_label,language_variant,student_id,school_type,school_major_detail,riasec_primary,riasec_secondary,mi_primary,vark_primary,career_alignment,initial_choice_program,expected_top_programs,source_type,generator_version,utterance_length
UTT2-000026,Saya siswa MAK jurusan MAK Teknologi/Bisnis/Kesehatan/Kreatif. Saya tertarik pada pasien dan teman. Program studi apa yang sesuai?,rekomendasi_prodi,id_formal,STU-003795,MAK,MAK Teknologi/Bisnis/Kesehatan/Kreatif,Social,Realistic,Interpersonal,Kinesthetic,Sosial,Keperawatan,Keperawatan|Kesehatan Masyarakat|Administrasi Publik|Ilmu Gizi|Pendidikan Guru Sekolah Dasar,synthetic_template,stage10-v2.0,17
UTT2-000027,Karier apa saja yang dapat ditempuh dari Agroteknologi?,prospek_karier,id_formal,STU-000313,SMA,Pilihan Campuran Kurikulum Merdeka,Realistic,Investigative,Naturalis,Kinesthetic,Praktikal,Agroteknologi,Agroteknologi|Agribisnis|Teknologi Pangan|Teknologi Informasi|Teknik Mesin,synthetic_template,stage10-v2.0,8
UTT2-000028,"Abdi resep makhluk hidup, kira-kira prodi anu pas kanggo abdi naon?",rekomendasi_prodi,sunda_umum,STU-009887,MAK,MAK Teknologi/Bisnis/Kesehatan/Kreatif,Investigative,Realistic,Naturalis,Reading/Writing,Akademik,Biologi,Biologi|Ilmu Gizi|Matematika|Farmasi|Ekonomi Pembangunan,synthetic_template,stage10-v2.0,11
UTT2-000029,Aku kudu nyiapke kemampuan apa yen arep mlebu Bisnis Digital?,skill_awal,jawa_umum,STU-000175,SMK,Pemasaran - Bisnis Digital,Enterprising,Conventional,Interpersonal,Kinesthetic,Eksekutif,Agroteknologi,Bisnis Digital|Manajemen|Sistem Informasi|Agribisnis|Teknik Industri,synthetic_template,stage10-v2.0,10
UTT2-000030,Bagaimana prospek karier dari program studi Ilmu Komunikasi?,prospek_karier,id_formal,STU-005815,SMK,Teknik Mesin,Conventional,Artistic,Linguistik,Auditory,Kreatif,Ilmu Komunikasi,Ilmu Komunikasi|Teknik Industri|Pendidikan Bahasa Inggris|Ilmu Hukum|Desain Produk,synthetic_template,stage10-v2.0,8
UTT2-000031,"Aku anak SMA jurusan Bahasa dan Budaya, suka marketing dan konseling. Cocoknya kuliah apa ya?",rekomendasi_prodi,id_nonformal,STU-004875,SMA,Bahasa dan Budaya,Enterprising,Social,Interpersonal,Auditory,Sosial,Belum yakin,Pariwisata|Psikologi|Pendidikan Bahasa Inggris|Manajemen|Bisnis Digital,synthetic_template,stage10-v2.0,15
UTT2-000032,Bikinin roadmap singkat buat persiapan masuk Teknik Mesin.,roadmap_belajar,id_nonformal,STU-001711,SMK,Manajemen Perkantoran dan Layanan Bisnis,Realistic,Investigative,Kinestetik,Kinesthetic,Praktikal,Teknik Mesin,Teknik Mesin|Teknik Elektro|Teknik Sipil|Teknologi Informasi|Teknik Informatika,synthetic_template,stage10-v2.0,8
UTT2-000033,Saya siswa SMK jurusan Teknik Elektronika. Saya tertarik pada pasien dan konseling. Program studi apa yang sesuai?,rekomendasi_prodi,id_formal,STU-000342,SMK,Teknik Elektronika,Social,Realistic,Interpersonal,Kinesthetic,Sosial,Belum yakin,Keperawatan|Kesehatan Masyarakat|Pendidikan Guru Sekolah Dasar|Teknik Elektro|Psikologi,synthetic_template,stage10-v2.0,17
UTT2-000034,Saya siswa SMK jurusan Desain Komunikasi Visual. Saya tertarik pada membantu. Program studi apa yang sesuai?,rekomendasi_prodi,id_formal,STU-008611,SMK,Desain Komunikasi Visual,Enterprising,Social,Interpersonal,Auditory,Sosial,Pariwisata,Pariwisata|Kesehatan Masyarakat|Bisnis Digital|Pendidikan Guru Sekolah Dasar|Ilmu Komunikasi,synthetic_template,stage10-v2.0,16
UTT2-000035,Awalnya aku pengin Teknik Mesin. Itu cocok nggak sama profilku?,bandingkan_pilihan_awal,id_nonformal,STU-010243,SMK,Teknik Mesin,Realistic,Investigative,Logis-Matematis,Kinesthetic,Praktikal,Teknik Mesin,Teknik Mesin|Teknik Elektro|Teknologi Informasi|Teknik Informatika|Teknik Sipil,synthetic_template,stage10-v2.0,10
UTT2-000036,"Abdi masih bingung minat, tapi resep desain. Tiasa dibantos arahanna?",klarifikasi_minat,sunda_umum,STU-004691,SMA,IPS/Soshum,Artistic,Conventional,Interpersonal,Visual,Eksekutif,Manajemen,Manajemen|Bisnis Digital|Administrasi Publik|Teknik Industri|Akuntansi,synthetic_template,stage10-v2.0,10
UTT2-000037,Skill awal apa yang sebaiknya saya kuasai sebelum mengambil Biologi?,skill_awal,id_formal,STU-001459,SMK,Manajemen Perkantoran dan Layanan Bisnis,Realistic,Conventional,Naturalis,Reading/Writing,Sosial,Belum yakin,Biologi|Ilmu Gizi|Agribisnis|Teknologi Pangan|Agroteknologi,synthetic_template,stage10-v2.0,10
UTT2-000038,Karier apa saja yang dapat ditempuh dari Ilmu Komunikasi?,prospek_karier,id_formal,STU-009588,SMK,Pengembangan Gim,Enterprising,Artistic,Visual-Spasial,Auditory,Eksekutif,Ilmu Komunikasi,Ilmu Komunikasi|Desain Komunikasi Visual|Bisnis Digital|Arsitektur|Desain Produk,synthetic_template,stage10-v2.0,9
UTT2-000039,"Aku isih bingung minatku, nanging seneng algoritma dan data. Iso dibantu?",klarifikasi_minat,jawa_umum,STU-010572,SMK,Pengembangan Gim,Conventional,Enterprising,Logis-Matematis,Reading/Writing,Eksekutif,Kesehatan Masyarakat,Teknik Industri|Akuntansi|Sistem Informasi|Farmasi|Statistika,synthetic_template,stage10-v2.0,11
UTT2-000040,Bagaimana prospek karier dari program studi Arsitektur?,prospek_karier,id_formal,STU-009993,MA,MIPA/IPA,Investigative,Realistic,Visual-Spasial,Visual,Kreatif,Arsitektur,Arsitektur|Desain Produk|Pendidikan Dokter|Statistika|Teknik Sipil,synthetic_template,stage10-v2.0,7
UTT2-000041,Saya siswa SMK jurusan Akuntansi dan Keuangan Lembaga. Saya tertarik pada visual. Program studi apa yang sesuai?,rekomendasi_prodi,id_formal,STU-008514,SMK,Akuntansi dan Keuangan Lembaga,Artistic,Enterprising,Visual-Spasial,Reading/Writing,Kreatif,Ilmu Komunikasi,Film dan Televisi|Desain Komunikasi Visual|Desain Produk|Arsitektur|Ilmu Komunikasi,synthetic_template,stage10-v2.0,17
UTT2-000042,Punten damelkeun roadmap belajar kanggo persiapan Agribisnis.,roadmap_belajar,sunda_umum,STU-009487,MA,IPS/Soshum,Enterprising,Realistic,Intrapersonal,Kinesthetic,Sosial,Teknologi Informasi,Agribisnis|Pariwisata|Sistem Informasi|Manajemen|Bisnis Digital,synthetic_template,stage10-v2.0,7
UTT2-000043,"Saya suka algoritma, major S1 yang paling cocok apa?",rekomendasi_prodi,mixed,STU-011344,SMK,Layanan Kesehatan,Investigative,Realistic,Logis-Matematis,Kinesthetic,Akademik,Kimia,Kimia|Farmasi|Biologi|Pendidikan Dokter|Statistika,synthetic_template,stage10-v2.0,9
UTT2-000044,Prospek kerja Ilmu Komunikasi itu jadi apa aja ya?,prospek_karier,id_nonformal,STU-000092,SMK,Desain Komunikasi Visual,Enterprising,Conventional,Linguistik,Auditory,Kreatif,Ilmu Komunikasi,Ilmu Komunikasi|Desain Komunikasi Visual|Pendidikan Bahasa Inggris|Pariwisata|Ilmu Hukum,synthetic_template,stage10-v2.0,9
UTT2-000045,Saya menyukai sistem informasi. Mohon rekomendasi program studi yang relevan.,rekomendasi_prodi,id_formal,STU-003759,SMK,Manajemen Perkantoran dan Layanan Bisnis,Social,Conventional,Logis-Matematis,Reading/Writing,Eksekutif,Teknologi Pangan,Sistem Informasi|Teknik Industri|Akuntansi|Manajemen|Bisnis Digital,synthetic_template,stage10-v2.0,10
UTT2-000046,Prospek kerja Kesehatan Masyarakat itu jadi apa aja ya?,prospek_karier,id_nonformal,STU-000186,MA,IPS/Soshum,Social,Investigative,Interpersonal,Reading/Writing,Sosial,Kesehatan Masyarakat,Kesehatan Masyarakat|Psikologi|Administrasi Publik|Pendidikan Guru Sekolah Dasar|Keperawatan,synthetic_template,stage10-v2.0,9
UTT2-000047,"Jika saya memilih Teknik Elektro, roadmap belajar awal apa yang perlu saya siapkan?",roadmap_belajar,id_formal,STU-008916,SMK,Akuntansi dan Keuangan Lembaga,Realistic,Investigative,Logis-Matematis,Kinesthetic,Praktikal,Teknik Elektro,Teknik Elektro|Teknik Mesin|Teknik Informatika|Teknologi Informasi|Teknik Sipil,synthetic_template,stage10-v2.0,13
UTT2-000048,"Selamat pagi, saya butuh arahan memilih jurusan kuliah.",sapaan,id_formal,STU-007374,SMA,Bahasa dan Budaya,Social,Artistic,Linguistik,Kinesthetic,Kreatif,Ilmu Komunikasi,Ilmu Komunikasi|Pendidikan Bahasa Inggris|Psikologi|Film dan Televisi|Desain Komunikasi Visual,synthetic_template,stage10-v2.0,8
UTT2-000049,Jelasin singkat tentang prodi Film dan Televisi.,info_program_studi,id_nonformal,STU-001031,SMA,MIPA/IPA,Conventional,Artistic,Visual-Spasial,Auditory,Kreatif,Film dan Televisi,Film dan Televisi|Arsitektur|Desain Produk|Desain Komunikasi Visual|Akuntansi,synthetic_template,stage10-v2.0,7
UTT2-000050,"Aku seneng laboratorium, kira-kira prodi sing cocok kanggo aku apa?",rekomendasi_prodi,jawa_umum,STU-002706,SMK,Desain Komunikasi Visual,Social,Realistic,Naturalis,Kinesthetic,Praktikal,Belum yakin,Teknologi Pangan|Agroteknologi|Ilmu Gizi|Agribisnis|Biologi,synthetic_template,stage10-v2.0,10
UTT2-000051,"Aku seneng hukum dan Pendidikan, kira-kira prodi sing cocok kanggo aku apa?",rekomendasi_prodi,jawa_umum,STU-003155,MA,Keagamaan,Conventional,Enterprising,Linguistik,Reading/Writing,Eksekutif,Ilmu Hukum,Ilmu Hukum|Administrasi Publik|Ilmu Komunikasi|Sistem Informasi|Akuntansi,synthetic_template,stage10-v2.0,12
UTT2-000052,Prospek kerja Desain Produk itu jadi apa aja ya?,prospek_karier,id_nonformal,STU-006152,SMA,MIPA/IPA,Realistic,Conventional,Visual-Spasial,Reading/Writing,Akademik,Desain Produk,Desain Produk|Arsitektur|Teknik Sipil|Biologi|Teknik Mesin,synthetic_template,stage10-v2.0,9
UTT2-000053,"Aku anak MA jurusan MIPA/IPA, suka administrasi publik. Cocoknya kuliah apa ya?",rekomendasi_prodi,id_nonformal,STU-002605,MA,MIPA/IPA,Social,Conventional,Interpersonal,Reading/Writing,Eksekutif,Belum yakin,Administrasi Publik|Kesehatan Masyarakat|Psikologi|Manajemen|Keperawatan,synthetic_template,stage10-v2.0,12
UTT2-000054,Apa saja yang biasanya dipelajari di Arsitektur?,info_program_studi,id_formal,STU-006755,SMA,Seni/Kreatif,Artistic,Realistic,Visual-Spasial,Visual,Kreatif,Arsitektur,Arsitektur|Desain Produk|Film dan Televisi|Desain Komunikasi Visual|Ilmu Komunikasi,synthetic_template,stage10-v2.0,7
UTT2-000055,"Aku anak MA jurusan MIPA/IPA, suka eksperimen dan riset. Cocoknya kuliah apa ya?",rekomendasi_prodi,id_nonformal,STU-010439,MA,MIPA/IPA,Investigative,Conventional,Logis-Matematis,Reading/Writing,Kreatif,Farmasi,Farmasi|Kimia|Pendidikan Dokter|Ekonomi Pembangunan|Matematika,synthetic_template,stage10-v2.0,13
UTT2-000056,Bikinin roadmap singkat buat persiapan masuk Ilmu Gizi.,roadmap_belajar,id_nonformal,STU-005758,SMA,Bahasa dan Budaya,Investigative,Social,Naturalis,Visual,Akademik,Ilmu Gizi,Ilmu Gizi|Teknologi Pangan|Biologi|Farmasi|Pendidikan Dokter,synthetic_template,stage10-v2.0,8
UTT2-000057,Apa saja yang biasanya dipelajari di Manajemen?,info_program_studi,id_formal,STU-010771,SMK,"Sistem Informasi, Jaringan, dan Aplikasi - SIJA",Enterprising,Investigative,Interpersonal,Reading/Writing,Eksekutif,Manajemen,Manajemen|Bisnis Digital|Pariwisata|Sistem Informasi|Teknik Industri,synthetic_template,stage10-v2.0,7
UTT2-000058,"Saya siswa SMK jurusan Sistem Informasi, Jaringan, dan Aplikasi - SIJA. Saya tertarik pada data science. Program studi apa yang sesuai?",rekomendasi_prodi,id_formal,STU-007358,SMK,"Sistem Informasi, Jaringan, dan Aplikasi - SIJA",Investigative,Enterprising,Logis-Matematis,Visual,Akademik,Sains Data,Sains Data|Statistika|Teknik Informatika|Teknologi Informasi|Kimia,synthetic_template,stage10-v2.0,21
UTT2-000059,Saya belum yakin minat utama saya. Apakah profil saya bisa dianalisis dari mata pelajaran dan hobi?,klarifikasi_minat,id_formal,STU-002482,SMA,Seni/Kreatif,Realistic,Investigative,Logis-Matematis,Kinesthetic,Praktikal,Teknik Elektro,Teknik Elektro|Teknik Mesin|Teknologi Informasi|Teknik Informatika|Teknik Sipil,synthetic_template,stage10-v2.0,16
UTT2-000060,Lulusan Arsitektur biasanya bisa kerja sebagai apa?,prospek_karier,id_nonformal,STU-007114,SMA,MIPA/IPA,Artistic,Realistic,Logis-Matematis,Reading/Writing,Kreatif,Arsitektur,Arsitektur|Desain Produk|Pendidikan Dokter|Desain Komunikasi Visual|Kimia,synthetic_template,stage10-v2.0,7
UTT2-000061,Mohon dibuatkan roadmap belajar 3 sampai 6 bulan untuk Teknik Industri.,roadmap_belajar,id_formal,STU-010673,SMK,"Sistem Informasi, Jaringan, dan Aplikasi - SIJA",Conventional,Enterprising,Logis-Matematis,Reading/Writing,Eksekutif,Teknik Industri,Teknik Industri|Sistem Informasi|Akuntansi|Sains Data|Teknologi Informasi,synthetic_template,stage10-v2.0,11
UTT2-000062,Saya menyukai Konten. Mohon rekomendasi program studi yang relevan.,rekomendasi_prodi,id_formal,STU-009262,SMA,Seni/Kreatif,Enterprising,Artistic,Interpersonal,Kinesthetic,Akademik,Pendidikan Guru Sekolah Dasar,Pendidikan Guru Sekolah Dasar|Ilmu Komunikasi|Bisnis Digital|Manajemen|Desain Produk,synthetic_template,stage10-v2.0,9
UTT2-000063,Bandingin Desain Produk sama rekomendasi yang lebih cocok buat aku.,bandingkan_pilihan_awal,id_nonformal,STU-008629,SMK,Teknik Elektronika,Conventional,Realistic,Kinestetik,Kinesthetic,Kreatif,Desain Produk,Desain Produk|Teknik Elektro|Teknik Industri|Arsitektur|Akuntansi,synthetic_template,stage10-v2.0,10
UTT2-000064,"Aku durung yakin passion-ku, kepiye cara milih jurusan?",klarifikasi_minat,jawa_umum,STU-004138,MA,MIPA/IPA,Realistic,Conventional,Interpersonal,Reading/Writing,Eksekutif,Manajemen,Manajemen|Administrasi Publik|Teknik Industri|Akuntansi|Bisnis Digital,synthetic_template,stage10-v2.0,8
UTT2-000065,"Kak, boleh bantu aku cari jurusan yang cocok?",sapaan,id_nonformal,STU-007686,SMA,Pilihan Campuran Kurikulum Merdeka,Enterprising,Artistic,Linguistik,Auditory,Kreatif,Ilmu Komunikasi,Ilmu Komunikasi|Pendidikan Bahasa Inggris|Ilmu Hukum|Desain Komunikasi Visual|Pariwisata,synthetic_template,stage10-v2.0,8
UTT2-000066,Lulusan Akuntansi biasanya bisa kerja sebagai apa?,prospek_karier,id_nonformal,STU-001191,SMA,IPS/Soshum,Conventional,Investigative,Logis-Matematis,Reading/Writing,Eksekutif,Akuntansi,Akuntansi|Sistem Informasi|Teknik Industri|Ilmu Hukum|Ekonomi Pembangunan,synthetic_template,stage10-v2.0,7
UTT2-000067,Tolong bandingkan pilihan awal saya yaitu Kesehatan Masyarakat dengan rekomendasi sistem.,bandingkan_pilihan_awal,id_formal,STU-007606,SMK,Akuntansi dan Keuangan Lembaga,Social,Investigative,Linguistik,Reading/Writing,Eksekutif,Kesehatan Masyarakat,Kesehatan Masyarakat|Pendidikan Bahasa Inggris|Ilmu Gizi|Akuntansi|Keperawatan,synthetic_template,stage10-v2.0,11
UTT2-000068,Skill awal apa yang sebaiknya saya kuasai sebelum mengambil Bisnis Digital?,skill_awal,id_formal,STU-011606,SMA,Bahasa dan Budaya,Conventional,Investigative,Interpersonal,Kinesthetic,Eksekutif,Bisnis Digital,Bisnis Digital|Administrasi Publik|Sistem Informasi|Manajemen|Psikologi,synthetic_template,stage10-v2.0,11
UTT2-000069,Punten damelkeun roadmap belajar kanggo persiapan Ilmu Komunikasi.,roadmap_belajar,sunda_umum,STU-005311,SMK,"Sistem Informasi, Jaringan, dan Aplikasi - SIJA",Enterprising,Conventional,Musik,Auditory,Kreatif,Ilmu Komunikasi,Ilmu Komunikasi|Pariwisata|Film dan Televisi|Desain Komunikasi Visual|Sistem Informasi,synthetic_template,stage10-v2.0,8
UTT2-000070,"Aku lumayan suka data. Menurut sistem, prodi yang pas buat aku apa?",rekomendasi_prodi,id_nonformal,STU-006584,SMK,Desain Komunikasi Visual,Conventional,Investigative,Logis-Matematis,Reading/Writing,Eksekutif,Akuntansi,Akuntansi|Teknik Industri|Sistem Informasi|Statistika|Farmasi,synthetic_template,stage10-v2.0,12
UTT2-000071,Skill awal buat masuk Kimia apa aja kak?,skill_awal,id_nonformal,STU-006113,MA,MIPA/IPA,Investigative,Conventional,Logis-Matematis,Visual,Akademik,Belum yakin,Kimia|Pendidikan Dokter|Farmasi|Matematika|Statistika,synthetic_template,stage10-v2.0,8
UTT2-000072,Saya menyukai Matematika dan Kimia. Mohon rekomendasi program studi yang relevan.,rekomendasi_prodi,id_formal,STU-002165,SMA,MIPA/IPA,Artistic,Realistic,Visual-Spasial,Kinesthetic,Kreatif,Desain Produk,Desain Produk|Arsitektur|Desain Komunikasi Visual|Film dan Televisi|Teknologi Pangan,synthetic_template,stage10-v2.0,11
UTT2-000073,Bikinin roadmap singkat buat persiapan masuk Biologi.,roadmap_belajar,id_nonformal,STU-010311,SMA,MIPA/IPA,Investigative,Artistic,Naturalis,Reading/Writing,Akademik,Biologi,Biologi|Kimia|Teknologi Pangan|Matematika|Farmasi,synthetic_template,stage10-v2.0,7
UTT2-000074,Bandingin Ilmu Komunikasi sama rekomendasi yang lebih cocok buat aku.,bandingkan_pilihan_awal,id_nonformal,STU-002032,SMK,Pengembangan Gim,Enterprising,Artistic,Linguistik,Auditory,Kreatif,Ilmu Komunikasi,Ilmu Komunikasi|Pendidikan Bahasa Inggris|Desain Komunikasi Visual|Pariwisata|Film dan Televisi,synthetic_template,stage10-v2.0,10
